#type	chr	number
CHIP_MACS2_BROAD_BB	chrUn_KI270512v1	2
CHIP_MACS2_BROAD_BB	chrUn_KI270583v1	1
CHIP_MACS2_BROAD_BB	chrUn_KI270751v1	4
CHIP_MACS2_BROAD_BB	chrUn_KI270756v1	2
CHIP_MACS2_BROAD_BB	chrUn_KI270522v1	1
CHIP_MACS2_BROAD_BB	chr14_KI270722v1_random	5
CHIP_MACS2_BROAD_BB	chrUn_KI270468v1	1
CHIP_MACS2_BROAD_BB	chr6	8
CHIP_MACS2_BROAD_BB	chr11	8
CHIP_MACS2_BROAD_BB	chr1_KI270713v1_random	5
CHIP_MACS2_BROAD_BB	chrUn_KI270320v1	1
CHIP_MACS2_BROAD_BB	chrUn_KI270755v1	1
CHIP_MACS2_BROAD_BB	chr17_GL000205v2_random	8
CHIP_MACS2_BROAD_BB	chr4_GL000008v2_random	2
CHIP_MACS2_BROAD_BB	chrX	8
CHIP_MACS2_BROAD_BB	chr4	8
CHIP_MACS2_BROAD_BB	chr9	8
CHIP_MACS2_BROAD_BB	chrUn_KI270516v1	1
CHIP_MACS2_BROAD_BB	chrUn_GL000214v1	3
CHIP_MACS2_BROAD_BB	chrUn_KI270744v1	6
CHIP_MACS2_BROAD_BB	chrUn_KI270590v1	1
CHIP_MACS2_BROAD_BB	chr14_KI270723v1_random	6
CHIP_MACS2_BROAD_BB	chr5	8
CHIP_MACS2_BROAD_BB	chr14_GL000194v1_random	8
CHIP_MACS2_BROAD_BB	chrUn_KI270448v1	1
CHIP_MACS2_BROAD_BB	chr14_KI270724v1_random	5
CHIP_MACS2_BROAD_BB	chr9_KI270720v1_random	3
CHIP_MACS2_BROAD_BB	chr1_KI270712v1_random	6
CHIP_MACS2_BROAD_BB	chr22	8
CHIP_MACS2_BROAD_BB	chr8	8
CHIP_MACS2_BROAD_BB	chr14_KI270725v1_random	1
CHIP_MACS2_BROAD_BB	chrUn_KI270749v1	2
CHIP_MACS2_BROAD_BB	chr16_KI270728v1_random	5
CHIP_MACS2_BROAD_BB	chrUn_KI270746v1	2
CHIP_MACS2_BROAD_BB	chrUn_KI270580v1	1
CHIP_MACS2_BROAD_BB	chrUn_KI270435v1	2
CHIP_MACS2_BROAD_BB	chr17	8
CHIP_MACS2_BROAD_BB	chr3_GL000221v1_random	2
CHIP_MACS2_BROAD_BB	chr9_KI270717v1_random	2
CHIP_MACS2_BROAD_BB	chr5_GL000208v1_random	2
CHIP_MACS2_BROAD_BB	chr16	8
CHIP_MACS2_BROAD_BB	chr12	8
CHIP_MACS2_BROAD_BB	chrUn_KI270538v1	2
CHIP_MACS2_BROAD_BB	chr1_KI270711v1_random	2
CHIP_MACS2_BROAD_BB	chrUn_KI270333v1	1
CHIP_MACS2_BROAD_BB	chr1_KI270710v1_random	1
CHIP_MACS2_BROAD_BB	chr11_KI270721v1_random	1
CHIP_MACS2_BROAD_BB	chrUn_KI270587v1	2
CHIP_MACS2_BROAD_BB	chr14_GL000225v1_random	5
CHIP_MACS2_BROAD_BB	chr17_KI270729v1_random	2
CHIP_MACS2_BROAD_BB	chr13	8
CHIP_MACS2_BROAD_BB	chr22_KI270737v1_random	1
CHIP_MACS2_BROAD_BB	chr2_KI270716v1_random	1
CHIP_MACS2_BROAD_BB	chrUn_GL000195v1	5
CHIP_MACS2_BROAD_BB	chrUn_GL000220v1	4
CHIP_MACS2_BROAD_BB	chrUn_KI270511v1	2
CHIP_MACS2_BROAD_BB	chrUn_KI270517v1	1
CHIP_MACS2_BROAD_BB	chrUn_KI270589v1	2
CHIP_MACS2_BROAD_BB	chr19	8
CHIP_MACS2_BROAD_BB	chr22_KI270735v1_random	3
CHIP_MACS2_BROAD_BB	chrUn_GL000216v2	5
CHIP_MACS2_BROAD_BB	chrUn_KI270509v1	1
CHIP_MACS2_BROAD_BB	chr1_KI270708v1_random	5
CHIP_MACS2_BROAD_BB	chr9_KI270718v1_random	1
CHIP_MACS2_BROAD_BB	chr15_KI270727v1_random	1
CHIP_MACS2_BROAD_BB	chrUn_KI270465v1	1
CHIP_MACS2_BROAD_BB	chr1_KI270706v1_random	6
CHIP_MACS2_BROAD_BB	chr1_KI270714v1_random	3
CHIP_MACS2_BROAD_BB	chrUn_KI270745v1	1
CHIP_MACS2_BROAD_BB	chr22_KI270732v1_random	3
CHIP_MACS2_BROAD_BB	chrUn_KI270584v1	1
CHIP_MACS2_BROAD_BB	chrUn_GL000218v1	7
CHIP_MACS2_BROAD_BB	chrUn_KI270754v1	6
CHIP_MACS2_BROAD_BB	chrUn_KI270438v1	2
CHIP_MACS2_BROAD_BB	chr22_KI270738v1_random	3
CHIP_MACS2_BED	chr14_GL000194v1_random	10
CHIP_MACS2_BED	chrUn_KI270742v1	2
CHIP_MACS2_BED	chr14_KI270724v1_random	2
CHIP_MACS2_BED	chr1_KI270707v1_random	4
CHIP_MACS2_BED	chr1_KI270712v1_random	6
CHIP_MACS2_BED	chr22_KI270733v1_random	8
CHIP_MACS2_BED	chr22	10
CHIP_MACS2_BED	chr14	10
CHIP_MACS2_BED	chrY	6
CHIP_MACS2_BED	chr8	10
CHIP_MACS2_BED	chr16_KI270728v1_random	10
CHIP_MACS2_BED	chrUn_GL000219v1	10
CHIP_MACS2_BED	chr1	10
CHIP_MACS2_BED	chr3_GL000221v1_random	2
CHIP_MACS2_BED	chr17	10
CHIP_MACS2_BED	chr9_KI270717v1_random	8
CHIP_MACS2_BED	chr22_KI270734v1_random	4
CHIP_MACS2_BED	chr21	10
CHIP_MACS2_BED	chr5_GL000208v1_random	4
CHIP_MACS2_BED	chr16	10
CHIP_MACS2_BED	chr3	10
CHIP_MACS2_BED	chr18	10
CHIP_MACS2_BED	chr9_KI270719v1_random	4
CHIP_MACS2_BED	chr12	10
CHIP_MACS2_BED	chr15	10
CHIP_MACS2_BED	chrUn_KI270747v1	2
CHIP_MACS2_BED	chr2	10
CHIP_MACS2_BED	chr14_GL000009v2_random	8
CHIP_MACS2_BED	chr22_KI270739v1_random	2
CHIP_MACS2_BED	chr14_GL000225v1_random	4
CHIP_MACS2_BED	chr13	10
CHIP_MACS2_BED	chrUn_KI270750v1	2
CHIP_MACS2_BED	chrUn_KI270743v1	8
CHIP_MACS2_BED	chr10	10
CHIP_MACS2_BED	chrUn_KI270442v1	6
CHIP_MACS2_BED	chrUn_GL000220v1	6
CHIP_MACS2_BED	chrUn_GL000195v1	10
CHIP_MACS2_BED	chr7	10
CHIP_MACS2_BED	chr20	10
CHIP_MACS2_BED	chrUn_KI270582v1	2
CHIP_MACS2_BED	chrUn_KI270751v1	2
CHIP_MACS2_BED	chr19	10
CHIP_MACS2_BED	chrUn_GL000216v2	4
CHIP_MACS2_BED	chr14_KI270722v1_random	8
CHIP_MACS2_BED	chr6	10
CHIP_MACS2_BED	chr11	10
CHIP_MACS2_BED	chr1_KI270713v1_random	10
CHIP_MACS2_BED	chr1_KI270708v1_random	8
CHIP_MACS2_BED	chr15_KI270727v1_random	2
CHIP_MACS2_BED	chr17_GL000205v2_random	10
CHIP_MACS2_BED	chr1_KI270706v1_random	6
CHIP_MACS2_BED	chr4_GL000008v2_random	4
CHIP_MACS2_BED	chrX	10
CHIP_MACS2_BED	chr4	10
CHIP_MACS2_BED	chr1_KI270714v1_random	4
CHIP_MACS2_BED	chr9	10
CHIP_MACS2_BED	chrUn_GL000218v1	8
CHIP_MACS2_BED	chrUn_KI270754v1	4
CHIP_MACS2_BED	chrUn_GL000214v1	2
CHIP_MACS2_BED	chrUn_KI270438v1	2
CHIP_MACS2_BED	chrUn_KI270744v1	6
CHIP_MACS2_BED	chr5	10
CHIP_MACS2_BED	chr14_KI270723v1_random	6
CHIP_MACS2_BB	chr14_GL000194v1_random	5
CHIP_MACS2_BB	chrUn_KI270742v1	1
CHIP_MACS2_BB	chr14_KI270724v1_random	1
CHIP_MACS2_BB	chr1_KI270707v1_random	2
CHIP_MACS2_BB	chr1_KI270712v1_random	3
CHIP_MACS2_BB	chr22_KI270733v1_random	4
CHIP_MACS2_BB	chr22	5
CHIP_MACS2_BB	chr14	5
CHIP_MACS2_BB	chrY	3
CHIP_MACS2_BB	chr8	5
CHIP_MACS2_BB	chr16_KI270728v1_random	5
CHIP_MACS2_BB	chrUn_GL000219v1	5
CHIP_MACS2_BB	chr1	5
CHIP_MACS2_BB	chr3_GL000221v1_random	1
CHIP_MACS2_BB	chr17	5
CHIP_MACS2_BB	chr9_KI270717v1_random	4
CHIP_MACS2_BB	chr22_KI270734v1_random	2
CHIP_MACS2_BB	chr21	5
CHIP_MACS2_BB	chr5_GL000208v1_random	2
CHIP_MACS2_BB	chr16	5
CHIP_MACS2_BB	chr3	5
CHIP_MACS2_BB	chr18	5
CHIP_MACS2_BB	chr9_KI270719v1_random	2
CHIP_MACS2_BB	chr12	5
CHIP_MACS2_BB	chr15	5
CHIP_MACS2_BB	chrUn_KI270747v1	1
CHIP_MACS2_BB	chr2	5
CHIP_MACS2_BB	chr14_GL000009v2_random	4
CHIP_MACS2_BB	chr22_KI270739v1_random	1
CHIP_MACS2_BB	chr14_GL000225v1_random	2
CHIP_MACS2_BB	chr13	5
CHIP_MACS2_BB	chrUn_KI270750v1	1
CHIP_MACS2_BB	chrUn_KI270743v1	4
CHIP_MACS2_BB	chr10	5
CHIP_MACS2_BB	chrUn_KI270442v1	3
CHIP_MACS2_BB	chrUn_GL000220v1	3
CHIP_MACS2_BB	chrUn_GL000195v1	5
CHIP_MACS2_BB	chr7	5
CHIP_MACS2_BB	chr20	5
CHIP_MACS2_BB	chrUn_KI270582v1	1
CHIP_MACS2_BB	chrUn_KI270751v1	1
CHIP_MACS2_BB	chr19	5
CHIP_MACS2_BB	chrUn_GL000216v2	2
CHIP_MACS2_BB	chr14_KI270722v1_random	4
CHIP_MACS2_BB	chr6	5
CHIP_MACS2_BB	chr11	5
CHIP_MACS2_BB	chr1_KI270713v1_random	5
CHIP_MACS2_BB	chr1_KI270708v1_random	4
CHIP_MACS2_BB	chr15_KI270727v1_random	1
CHIP_MACS2_BB	chr17_GL000205v2_random	5
CHIP_MACS2_BB	chr1_KI270706v1_random	3
CHIP_MACS2_BB	chr4_GL000008v2_random	2
CHIP_MACS2_BB	chrX	5
CHIP_MACS2_BB	chr4	5
CHIP_MACS2_BB	chr1_KI270714v1_random	2
CHIP_MACS2_BB	chr9	5
CHIP_MACS2_BB	chrUn_GL000218v1	4
CHIP_MACS2_BB	chrUn_KI270754v1	2
CHIP_MACS2_BB	chrUn_GL000214v1	1
CHIP_MACS2_BB	chrUn_KI270438v1	1
CHIP_MACS2_BB	chrUn_KI270744v1	3
CHIP_MACS2_BB	chr5	5
CHIP_MACS2_BB	chr14_KI270723v1_random	3
CHIP_MACS2_BROAD_BED	chrUn_GL000224v1	10
CHIP_MACS2_BROAD_BED	chrUn_KI270742v1	6
CHIP_MACS2_BROAD_BED	chr1_KI270709v1_random	6
CHIP_MACS2_BROAD_BED	chr1_KI270707v1_random	2
CHIP_MACS2_BROAD_BED	chr22_KI270733v1_random	14
CHIP_MACS2_BROAD_BED	chr14	16
CHIP_MACS2_BROAD_BED	chrUn_KI270508v1	2
CHIP_MACS2_BROAD_BED	chrY	12
CHIP_MACS2_BROAD_BED	chr17_KI270730v1_random	4
CHIP_MACS2_BROAD_BED	chrUn_GL000219v1	16
CHIP_MACS2_BROAD_BED	chr1	16
CHIP_MACS2_BROAD_BED	chrUn_KI270507v1	4
CHIP_MACS2_BROAD_BED	chrUn_KI270588v1	2
CHIP_MACS2_BROAD_BED	chr22_KI270734v1_random	4
CHIP_MACS2_BROAD_BED	chrUn_KI270757v1	4
CHIP_MACS2_BROAD_BED	chr21	16
CHIP_MACS2_BROAD_BED	chrUn_KI270518v1	2
CHIP_MACS2_BROAD_BED	chrUn_KI270322v1	2
CHIP_MACS2_BROAD_BED	chrUn_KI270519v1	4
CHIP_MACS2_BROAD_BED	chr3	16
CHIP_MACS2_BROAD_BED	chr18	16
CHIP_MACS2_BROAD_BED	chr9_KI270719v1_random	8
CHIP_MACS2_BROAD_BED	chr22_KI270731v1_random	4
CHIP_MACS2_BROAD_BED	chr15	16
CHIP_MACS2_BROAD_BED	chrUn_KI270515v1	2
CHIP_MACS2_BROAD_BED	chr2	16
CHIP_MACS2_BROAD_BED	chrUn_KI270521v1	2
CHIP_MACS2_BROAD_BED	chrUn_KI270510v1	2
CHIP_MACS2_BROAD_BED	chr14_GL000009v2_random	16
CHIP_MACS2_BROAD_BED	chrUn_KI270591v1	4
CHIP_MACS2_BROAD_BED	chrUn_KI270429v1	2
CHIP_MACS2_BROAD_BED	chrUn_KI270750v1	2
CHIP_MACS2_BROAD_BED	chr22_KI270736v1_random	4
CHIP_MACS2_BROAD_BED	chrUn_KI270743v1	8
CHIP_MACS2_BROAD_BED	chr10	16
CHIP_MACS2_BROAD_BED	chrUn_KI270442v1	12
CHIP_MACS2_BROAD_BED	chr7	16
CHIP_MACS2_BROAD_BED	chr20	16
CHIP_MACS2_BROAD_BED	chrUn_KI270512v1	4
CHIP_MACS2_BROAD_BED	chrUn_KI270583v1	2
CHIP_MACS2_BROAD_BED	chrUn_KI270751v1	8
CHIP_MACS2_BROAD_BED	chrUn_KI270756v1	4
CHIP_MACS2_BROAD_BED	chrUn_KI270522v1	2
CHIP_MACS2_BROAD_BED	chr14_KI270722v1_random	10
CHIP_MACS2_BROAD_BED	chrUn_KI270468v1	2
CHIP_MACS2_BROAD_BED	chr6	16
CHIP_MACS2_BROAD_BED	chr11	16
CHIP_MACS2_BROAD_BED	chr1_KI270713v1_random	10
CHIP_MACS2_BROAD_BED	chrUn_KI270320v1	2
CHIP_MACS2_BROAD_BED	chrUn_KI270755v1	2
CHIP_MACS2_BROAD_BED	chr17_GL000205v2_random	16
CHIP_MACS2_BROAD_BED	chr4_GL000008v2_random	4
CHIP_MACS2_BROAD_BED	chrX	16
CHIP_MACS2_BROAD_BED	chr4	16
CHIP_MACS2_BROAD_BED	chr9	16
CHIP_MACS2_BROAD_BED	chrUn_KI270516v1	2
CHIP_MACS2_BROAD_BED	chrUn_GL000214v1	6
CHIP_MACS2_BROAD_BED	chrUn_KI270744v1	12
CHIP_MACS2_BROAD_BED	chrUn_KI270590v1	2
CHIP_MACS2_BROAD_BED	chr14_KI270723v1_random	12
CHIP_MACS2_BROAD_BED	chr5	16
CHIP_MACS2_BROAD_BED	chr14_GL000194v1_random	16
CHIP_MACS2_BROAD_BED	chrUn_KI270448v1	2
CHIP_MACS2_BROAD_BED	chr14_KI270724v1_random	10
CHIP_MACS2_BROAD_BED	chr9_KI270720v1_random	6
CHIP_MACS2_BROAD_BED	chr1_KI270712v1_random	12
CHIP_MACS2_BROAD_BED	chr22	16
CHIP_MACS2_BROAD_BED	chr8	16
CHIP_MACS2_BROAD_BED	chr14_KI270725v1_random	2
CHIP_MACS2_BROAD_BED	chrUn_KI270749v1	4
CHIP_MACS2_BROAD_BED	chr16_KI270728v1_random	10
CHIP_MACS2_BROAD_BED	chrUn_KI270746v1	4
CHIP_MACS2_BROAD_BED	chrUn_KI270580v1	2
CHIP_MACS2_BROAD_BED	chrUn_KI270435v1	4
CHIP_MACS2_BROAD_BED	chr17	16
CHIP_MACS2_BROAD_BED	chr3_GL000221v1_random	4
CHIP_MACS2_BROAD_BED	chr9_KI270717v1_random	4
CHIP_MACS2_BROAD_BED	chr5_GL000208v1_random	4
CHIP_MACS2_BROAD_BED	chr16	16
CHIP_MACS2_BROAD_BED	chr12	16
CHIP_MACS2_BROAD_BED	chrUn_KI270538v1	4
CHIP_MACS2_BROAD_BED	chr1_KI270711v1_random	4
CHIP_MACS2_BROAD_BED	chrUn_KI270333v1	2
CHIP_MACS2_BROAD_BED	chr1_KI270710v1_random	2
CHIP_MACS2_BROAD_BED	chr11_KI270721v1_random	2
CHIP_MACS2_BROAD_BED	chrUn_KI270587v1	4
CHIP_MACS2_BROAD_BED	chr14_GL000225v1_random	10
CHIP_MACS2_BROAD_BED	chr17_KI270729v1_random	4
CHIP_MACS2_BROAD_BED	chr13	16
CHIP_MACS2_BROAD_BED	chr22_KI270737v1_random	2
CHIP_MACS2_BROAD_BED	chr2_KI270716v1_random	2
CHIP_MACS2_BROAD_BED	chrUn_GL000195v1	10
CHIP_MACS2_BROAD_BED	chrUn_GL000220v1	8
CHIP_MACS2_BROAD_BED	chrUn_KI270511v1	4
CHIP_MACS2_BROAD_BED	chrUn_KI270517v1	2
CHIP_MACS2_BROAD_BED	chrUn_KI270589v1	4
CHIP_MACS2_BROAD_BED	chr19	16
CHIP_MACS2_BROAD_BED	chr22_KI270735v1_random	6
CHIP_MACS2_BROAD_BED	chrUn_GL000216v2	10
CHIP_MACS2_BROAD_BED	chrUn_KI270509v1	2
CHIP_MACS2_BROAD_BED	chr1_KI270708v1_random	10
CHIP_MACS2_BROAD_BED	chr9_KI270718v1_random	2
CHIP_MACS2_BROAD_BED	chr15_KI270727v1_random	2
CHIP_MACS2_BROAD_BED	chrUn_KI270465v1	2
CHIP_MACS2_BROAD_BED	chr1_KI270706v1_random	12
CHIP_MACS2_BROAD_BED	chr1_KI270714v1_random	6
CHIP_MACS2_BROAD_BED	chrUn_KI270745v1	2
CHIP_MACS2_BROAD_BED	chr22_KI270732v1_random	6
CHIP_MACS2_BROAD_BED	chrUn_KI270584v1	2
CHIP_MACS2_BROAD_BED	chrUn_GL000218v1	14
CHIP_MACS2_BROAD_BED	chrUn_KI270754v1	12
CHIP_MACS2_BROAD_BED	chrUn_KI270438v1	4
CHIP_MACS2_BROAD_BED	chr22_KI270738v1_random	6
